<TICKER>;<PER>;<DATE>;<OPEN>;<CLOSE>;<AMOUNT>;<VOLUME>;<EBITDA>;<FCF>;<OCF>;<OPER INCOME>;<NET INCOME>;<REVENUE>
Sberbank;D;25.07.2022;128,9;131,45;55 990 880;7 278 558 481,8;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;26.07.2022;132,02;132,9;50 351 100;6 674 121 413,4;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;27.07.2022;132,9;132,5;42 526 820;5 666 320 132,8;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;28.07.2022;133,01;131,72;40 102 900;5 270 874 128,5;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;29.07.2022;131,65;131,9;27 788 260;3 657 277 546,3;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;01.08.2022;131,77;127,34;44 322 900;5 733 440 411,9;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;02.08.2022;126,6;127,53;44 006 150;5 597 372 358,7;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;03.08.2022;128,05;126,85;30 948 110;3 954 448 973,2;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;04.08.2022;126,94;126,95;19 560 540;2 486 974 528,6;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;05.08.2022;127,5;122,4;61 176 570;7 580 630 330,2;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;08.08.2022;126,11;123,81;53 664 860;6 717 450 630,0;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;09.08.2022;123,9;126,4;37 919 970;4 714 973 255,6;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;10.08.2022;126,25;126,2;31 939 910;4 026 159 269,7;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;11.08.2022;126,97;123,45;30 949 210;3 873 147 168,4;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
